id,name,nameEn,distillery,distillerySlug,country,region,type,age,abv,priceYen,priceAsOf,priceSource,availability,rating,notes,affiliateId,cask,recommendedFor,flavor.peat,flavor.sweet,flavor.fruity,flavor.spicy,flavor.oak,flavor.smoky,flavor.complex,flavor.body
teeling-small-batch,ティーリング スモールバッチ,Teeling Small Batch,ティーリング蒸溜所,teeling,ireland,ireland,blended,,46.0,4000,2026-08,editorial,common,82,ダブリン発の若いブレンデッド。ラム樽仕上げの甘いスパイスとバニラ。,,ラム樽,ロック|ハイボール,0,4,4,2,3,0,3,3
tobermory-12,トバモリー12年,Tobermory 12 Year Old,トバモリー蒸溜所,tobermory,scotland,island,single-malt,12,46.3,7500,2026-08,editorial,limited,84,ノンピートのマル島モルト。柑橘と花、海塩が上品に調和する。,,バーボン|シェリー,ストレート,0,4,3,2,3,0,4,3
tomatin-12,トマーティン12年,Tomatin 12 Year Old,トマーティン蒸溜所,tomatin,scotland,highland,single-malt,12,43,4500,2026-08,editorial,common,82,高地らしい清らかな飲み口。蜂蜜と青リンゴ、クリームのやさしい味わい。,,バーボン|シェリー,ストレート|ロック,0,4,3,2,3,0,3,3
tomatin-18,トマーティン18年,Tomatin 18 Year Old,トマーティン蒸溜所,tomatin,scotland,highland,single-malt,18,46,12000,2026-08,editorial,limited,85,シェリー樽熟成の深みと高地の清冽さが共存。ドライフルーツとオークの余韻。,,シェリー|バーボン,ストレート,0,4,4,3,4,0,4,3
tullamore-dew,タラモアデュー,Tullamore D.E.W.,タラモアデュー蒸溜所,,ireland,ireland,blended,,40.0,2200,2026-08,editorial,common,78,3種の原酒をブレンドする軽やかなアイリッシュブレンデッド。,,バーボン,ハイボール,0,3,3,1,2,0,2,2
weller-special-reserve,ウェラー スペシャルリザーブ,Weller Special Reserve,バッファロートレース蒸溜所,buffalo-trace,usa,kentucky,bourbon,,45,5000,2026-08,editorial,rare,82,小麦を使うウイートバーボンの定番。キャラメルとフルーツの滑らかな甘さ。,,新樽,ロック|ストレート,0,5,3,2,4,0,3,3
white-horse-fine-old,ホワイトホース ファインオールド,White Horse Fine Old,ディアジオ,,scotland,islay,blended,,43.0,2200,2026-08,editorial,limited,80,43%版はピート感がやや強めで、ロックでも飲みごたえがある。,,各種,ロック,3,3,2,2,3,3,3,3
white-horse,ホワイトホース,White Horse,ディアジオ,,scotland,islay,blended,,40.0,1400,2026-08,editorial,common,78,ラガヴーリンを含むためピートがほのかに残る。価格を考えると驚異的。,white-horse,各種,ハイボール,2,3,2,1,2,2,2,2
wild-turkey-101,ワイルドターキー101,Wild Turkey 101,ワイルドターキー蒸溜所,wild-turkey,usa,kentucky,bourbon,,50.5,2800,2026-08,editorial,common,84,50.5度の力強い定番。バニラと胡椒、オークが荒々しくもバランス良好。,,新樽,ロック|ハイボール,0,4,2,5,5,0,4,5
wild-turkey-8,ワイルドターキー 8年,Wild Turkey 8 Year Old,ワイルドターキー蒸溜所,wild-turkey,usa,kentucky,bourbon,8,50.5,3000,2026-08,editorial,common,85,度数50.5%の力強さ。スパイスとキャラメルが濃厚に押し寄せる。,wild-turkey-8,新樽,ストレート|ロック,0,4,2,5,5,0,4,5
wild-turkey-rare-breed,ワイルドターキー レアブリード,Wild Turkey Rare Breed,ワイルドターキー蒸溜所,wild-turkey,usa,kentucky,bourbon,,58.4,5500,2026-08,editorial,limited,87,カスクストレングスに近い高度数。複数熟成年数の原酒をブレンドした濃厚な仕上がり。,,新樽,ストレート|ロック,0,4,2,5,5,0,4,5
william-lawsons,ウィリアムローソン,William Lawson's,バカルディ,,scotland,speyside,blended,,40.0,1400,2026-08,editorial,common,75,スペイサイドモルトを軸にした軽やかなブレンデッド。,,各種,ハイボール,0,3,2,1,2,0,2,2
woodford-double-oaked,ウッドフォード ダブルオークド,Woodford Reserve Double Oaked,ウッドフォードリザーブ蒸溜所,woodford,usa,kentucky,bourbon,,45.2,6000,2026-08,editorial,common,85,2度の樽熟成でダークチョコレートと糖蜜の甘さが濃い。まろやかなコク。,,新樽,ストレート|ロック,0,5,3,3,5,0,4,4
woodford-reserve,ウッドフォードリザーブ,Woodford Reserve,ウッドフォードリザーブ蒸溜所,woodford,usa,kentucky,bourbon,,43.2,4000,2026-08,editorial,common,85,ポットスチルを併用した厚みのある味。バーボンの中では複雑。,,新樽,ストレート|ロック,0,4,3,4,4,0,4,4
yamazaki-12,山崎12年,Yamazaki 12 Year Old,山崎蒸溜所,yamazaki,japan,japan,single-malt,12,43.0,16800,2026-08,editorial,limited,88,ミズナラ樽由来の白檀のような香りが特徴。熟した果実と蜂蜜の甘みが層になって続く。,yamazaki-12,アメリカンオーク|シェリー|ミズナラ,ストレート|ロック,2,4,4,2,3,1,4,3
yamazaki-18,山崎18年,Yamazaki 18 Year Old,山崎蒸溜所,yamazaki,japan,japan,single-malt,18,43.0,55000,2026-08,editorial,rare,92,18年熟成でミズナラの香りが極まった1本。ドライフルーツと白檀が複雑に絡む。,,シェリー|ミズナラ,ストレート,2,5,4,3,4,1,5,3
yamazaki-nas,山崎 ディスティラーズリザーブ,Yamazaki Distiller's Reserve,山崎蒸溜所,yamazaki,japan,japan,single-malt,,43.0,11000,2026-08,editorial,common,85,山崎の中では手に入りやすい定番のNAS。ミズナラ由来の華やかな香りと、ハイボールでも立つ果実感が魅力。,,アメリカンオーク|シェリー|ミズナラ,ハイボール|ストレート,1,4,4,2,3,0,4,3
yellow-spot,イエロースポット12年,Yellow Spot 12 Year Old,ミドルトン蒸溜所,midleton,ireland,ireland,single-malt,12,46,11000,2026-08,editorial,limited,86,マラガワイン樽が独特の甘みを生む。オレンジピールとスパイスの深い味わい。,,バーボン|シェリー|マラガ,ストレート,0,4,4,3,4,0,4,3
yoichi,余市,Nikka Yoichi Single Malt,余市蒸溜所,yoichi,japan,japan,single-malt,,45.0,5500,2026-08,editorial,common,85,石炭直火蒸留による力強さ。焦げた樽とわずかな潮の香りがある。,,リメイド|シェリー,ストレート|ロック,2,3,3,3,3,2,4,4
